company_name,raised_amount_usd
Arch Rock Corporation,1.0E7
Arch Rock Corporation,5000000.0
Anaplan,1.14E7
Anaplan,3.3E7
Animated Speech,250000.0
Applied Identity,1.0E7
Applied Identity,1.2E7
Applied Identity,1.1E7
AngelList,2.4E7
Ad Infuse,1.2E7
August,2000000.0
August,8000000.0
Altius Education,8000000.0
Altius Education,1.86E7
Academia.edu,4500000.0
Academia.edu,1.11E7
Academia.edu,1600000.0
AngelList,2.4E7
Aruspex,3770000.0
Aktana,5000000.0
Aktana,2060000.0
Aktana,1010000.0
Aktana,1050000.0
AppDirect,3250000.0
AppDirect,8500000.0
Ad Infuse,1.2E7
Ad Infuse,5000000.0
Ad Infuse,600000.0
AllBusiness.com,1.24E7
Aardvark,5250000.0
Airbnb,7200000.0
AppRedeem,700000.0
Ark,5000000.0
AppMesh,3000000.0
Aligo,7920000.0
AdverCar,2000000.0
Alphabet Energy,1.2E7
Alphabet Energy,1.6E7
Appstores.com,565000.0
Ark,5000000.0
AdGrok,470000.0
Automattic,2.95E7
Academia.edu,4500000.0
Apcera,2200000.0
Apcera,5000000.0
Academia.edu,1.11E7
Adku,1500000.0
Airstone Labs,2511000.0
Aria Systems,2.72E7
Aria Systems,4.0E7
Anki,5.0E7
Appthority,6250000.0
AllBusiness.com,1.0E7
AllBusiness.com,1.24E7
Allvoices,51068.0
Allvoices,4225500.0
Adura Technologies,5000000.0
Adura Technologies,1.2E7
Adura Technologies,8500000.0
Animated Speech,250000.0
Aria Systems,1.0E7
Aria Systems,2.72E7
Appthority,6250000.0
Aria Systems,4.0E7
Audentes Therapeutics,3.0E7
Atom Entertainment,2.29E7
Appurify,4500000.0
Appurify,1750000.0
AdStage,1400000.0
Apiary,1630000.0
Adku,1500000.0
Airbnb,600000.0
Airbnb,7200000.0
Appbistro,600000.0
Appstores.com,590000.0
Appstores.com,565000.0
Atooma,132200.0
Appurify,4500000.0
Asana,1200000.0
Asana,1200000.0
Appstores.com,565000.0
Adioso,70000.0
Appbistro,600000.0
Appstores.com,590000.0
AwayFind,800000.0
Appstores.com,590000.0
Appstores.com,565000.0
AwayFind,800000.0
Airbnb,1.12E8
Airbnb,2.0E8
AdRocket,1000000.0
Aardvark,5250000.0
Aardvark,750000.0
Avocado�,1300000.0
Apture,500000.0
Asana,1200000.0
AnyPerk,1400000.0
AwayFind,800000.0
Artify It,800000.0
AdGrok,470000.0
AdRoll,4000000.0
Ark,250000.0
Adioso,70000.0
Auctomatic,400000.0
AdGrok,470000.0
AppJet,700000.0
Asana,1200000.0
AdStage,100000.0
August,2000000.0
AdStage,1400000.0
Automattic,1100000.0
Airbnb,7200000.0
Appbistro,600000.0
Appstores.com,590000.0
Apiary,120000.0
Appiphany,200000.0
Addvocate,2390000.0
Appstores.com,565000.0
Avocado�,1300000.0
Appirio,1100000.0
Astrid,400000.0
AdRoll,4000000.0
AdStage,100000.0
August,2000000.0
Addvocate,2390000.0
Appurify,4500000.0
Appurify,1750000.0
Asana,1200000.0
Airbnb,1.12E8
Airbnb,7200000.0
Addvocate,2390000.0
AdStage,1400000.0
AdverCar,2000000.0
Artify It,800000.0
Asana,1200000.0
AdStage,1400000.0
AdRoll,4000000.0
Addvocate,2390000.0
Airbnb,7200000.0
Automattic,1100000.0
Addvocate,2390000.0
AdRocket,1000000.0
Asana,1200000.0
AngelList,2.4E7
Atooma,65000.0
Appstores.com,565000.0
AdStage,1400000.0
Academia.edu,1600000.0
Asana,1200000.0
Asseta,535000.0
August,2000000.0
August,2000000.0
AdRoll,4000000.0
AngelList,2.4E7
Appstores.com,590000.0
Appstores.com,565000.0
AnyPerk,1400000.0
Ark,250000.0
August,2000000.0
Asana,1200000.0
AngelList,2.4E7
Apiary,120000.0
August,2000000.0
AngelList,2.4E7
AdRocket,1000000.0
Asana,1200000.0
AdStage,1400000.0
AdRocket,1000000.0
Auctomatic,400000.0
AppJet,700000.0
Adioso,70000.0
AppJet,700000.0
Apture,500000.0
Advice Wallet,25000.0
AdRoll,4000000.0
Asana,1200000.0
Artify It,800000.0
Asana,2.8E7
Appurify,4500000.0
Appurify,1750000.0
AdStage,1400000.0
August,2000000.0
AppJet,700000.0
Adioso,70000.0
Asana,1200000.0
Ark,250000.0
Academia.edu,1600000.0
AdGrok,470000.0
Ark,5000000.0
AppJet,700000.0
AppJet,700000.0
Addvocate,2390000.0
Asana,1200000.0
AppJet,700000.0
Automattic,1100000.0
Aardvark,5250000.0
AnyPerk,1400000.0
Atooma,100000.0
Aravo Solutions,7000000.0
Aravo Solutions,1.9E7
Appstores.com,565000.0
Adioso,70000.0
Avocado�,1300000.0
Apture,500000.0
AdStage,1400000.0
Ark,250000.0
Addvocate,2390000.0
Academia.edu,1600000.0
Appstores.com,590000.0
Adioso,70000.0
Addvocate,2390000.0
Addvocate,2390000.0
Appbistro,600000.0
August,2000000.0
Aravo Solutions,7000000.0
Aravo Solutions,1.9E7
AppJet,700000.0
Adioso,70000.0
Addvocate,2390000.0
Ark,250000.0
August,2000000.0
